 Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K),Discovery method,Discovery Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks,Mass Category,Period Category,Distance Category,Radius Category,Star Temp Category,IS Habbitable
HD 25171 b,0.950,1.166,1845.000,3.020,1442.00,Radial Velocity,2006,179.300,1.090,6160,None,Medium,Long,Mid-Range,Medium,Hot,0
HD 25723 b,2.510,1.166,456.780,1.490,1442.00,Radial Velocity,2006,375.000,2.100,5601,Giant star host,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 25723 c,1.330,1.166,2369.840,4.350,1442.00,Radial Velocity,2006,375.000,2.100,5601,Giant star host,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 260655 b,0.007,0.111,2.770,0.029,709.00,Transit,2006,32.630,0.439,3803,Host star also known as TOI-4599,Small,Ultra Short,Nearby,Small,Cool,0
HD 260655 c,0.010,0.137,5.706,0.047,557.00,Transit,2006,32.630,0.439,3803,Host star also known as TOI-4599,Small,Ultra Short,Nearby,Small,Cool,0
HD 2685 b [id],1.170,1.440,4.127,0.057,2061.00,Transit,2006,645.720,1.430,6801,None,Giant,Ultra Short,Far,Medium,Hot,0
HD 27631 b,1.450,1.166,2208.000,3.250,1442.00,Radial Velocity,2006,145.300,0.940,5737,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 27894 c,0.162,1.166,36.070,0.198,1442.00,Radial Velocity,2006,138.200,0.800,4875,None,Medium,Short,Mid-Range,Medium,Sun-like,0
HD 27894 d,5.415,1.166,5174.000,5.448,1442.00,Radial Velocity,2006,138.200,0.800,4875,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 28109 b,0.058,0.196,22.891,0.136,881.20,Transit,2006,457.000,1.260,6120,None,Small,Short,Mid-Range,Small,Hot,0
HD 28109 c,0.025,0.378,56.008,0.308,585.20,Transit,2006,457.000,1.260,6120,None,Small,Short,Mid-Range,Small,Hot,0
HD 28109 d,0.018,0.290,84.260,0.411,506.50,Transit,2006,457.000,1.260,6120,None,Small,Short,Mid-Range,Small,Hot,0
HD 28254 b,1.160,1.166,1116.000,2.150,1442.00,Radial Velocity,2006,178.410,1.060,5664,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 285507 b,0.920,1.166,6.096,1442.000,1442.00,Radial Velocity,2006,153.000,0.730,4503,member of Hyades (star cluster),Medium,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 28678 b,1.542,1.166,380.200,1.180,1442.00,Radial Velocity,2006,622.720,1.530,4972,Proper name Tassili,Giant,Long,Far,Medium,Sun-like,0
HD 29021 b,2.400,1.166,1362.300,2.280,1442.00,Radial Velocity,2006,100.000,0.850,5560,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 29399 b,1.570,1.166,892.700,1.913,1442.00,Radial Velocity,2006,144.200,1.150,4845,Giant host star,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 2952 b [ru],1.600,1.166,311.600,1.200,1442.00,Radial Velocity,2006,375.800,2.540,4844,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 30177 c,7.600,1.166,11613.000,9.890,1442.00,Radial Velocity,2006,178.400,0.990,5580,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 30246 b,55.100,1.166,990.700,2.012,1442.00,Radial Velocity,2006,160.000,1.050,5833,Brown dwarf or star,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 30669 b,0.470,1.166,1684.000,2.690,1442.00,Radial Velocity,2006,186.000,0.920,5400,None,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 30856 b,1.547,1.166,847.000,1.850,1442.00,Radial Velocity,2006,429.560,1.170,4895,Proper name Nakanbé,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 31253 b,0.620,1.166,466.000,1.260,1442.00,Radial Velocity,2006,189.960,1.700,6130,None,Medium,Long,Mid-Range,Medium,Hot,0
HD 31527 b,0.033,1.166,16.554,0.125,1442.00,Radial Velocity,2006,125.800,0.960,5898,Planet confirmed in 2017,Small,Short,Mid-Range,Medium,Sun-like,0
HD 31527 c,0.045,1.166,51.205,0.266,1442.00,Radial Velocity,2006,125.800,0.960,5898,Planet confirmed in 2017,Small,Short,Mid-Range,Medium,Sun-like,0
HD 31527 d,0.037,1.166,271.674,0.810,1442.00,Radial Velocity,2006,125.800,0.960,5898,Planet confirmed in 2017,Small,Long,Mid-Range,Medium,Sun-like,0
HD 3167 b,1.981,0.139,0.960,1442.000,1442.00,Transit,2006,149.000,0.860,5261,None,Giant,Ultra Short,Mid-Range,Small,Sun-like,0
HD 3167 c,1.981,0.254,29.845,1442.000,1442.00,Transit,2006,149.000,0.860,5261,None,Giant,Short,Mid-Range,Small,Sun-like,0
HD 3167 d,0.022,1.166,8.509,0.078,1442.00,Radial Velocity,2006,149.000,0.860,5261,None,Small,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 3167 e,0.031,1.166,102.090,0.405,375.00,Radial Velocity,2006,154.590,0.852,5300,None,Small,Long,Mid-Range,Medium,Sun-like,0
HD 32963 b,0.700,1.166,2372.000,3.410,1442.00,Radial Velocity,2006,114.900,0.940,5727,None,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 33142 b,1.385,1.166,326.000,1.070,1442.00,Radial Velocity,2006,397.270,1.410,4978,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 33142 c,5.970,1.166,834.000,1442.000,1442.00,Radial Velocity,2006,37.340,1.780,5009,Marginal detection,Giant,Long,Nearby,Medium,Sun-like,0
HD 33142 d [ja],0.890,1.166,810.200,1.955,1442.00,Radial Velocity,2006,394.300,1.520,5025.4,Giant host star,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 332231 b,0.251,0.867,18.702,0.144,876.00,Transit,2006,262.000,1.127,6089,TOI 1456,Medium,Short,Mid-Range,Medium,Hot,0
HD 33283 b,0.329,1.166,18.199,0.151,1442.00,Radial Velocity,2006,293.880,1.380,5935,None,Medium,Short,Mid-Range,Medium,Sun-like,0
HD 33844 b [ru],1.960,1.166,551.400,1.600,1442.00,Radial Velocity,2006,329.000,1.780,4861,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 33844 c [ru],1.750,1.166,916.000,2.240,1442.00,Radial Velocity,2006,329.000,1.780,4861,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 34445 c,0.168,1.166,214.670,0.718,1442.00,Radial Velocity,2006,146.800,1.070,5836,Likely a false positive,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 34445 d,0.097,1.166,117.870,0.482,1442.00,Radial Velocity,2006,146.800,1.070,5836,Likely a false positive,Small,Long,Mid-Range,Medium,Sun-like,0
HD 34445 e,0.053,1.166,49.175,0.269,1442.00,Radial Velocity,2006,146.800,1.070,5836,Likely a false positive,Small,Short,Mid-Range,Medium,Sun-like,0
HD 34445 f,0.119,1.166,676.800,1.543,1442.00,Radial Velocity,2006,146.800,1.070,5836,Likely a false positive,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 34445 g,0.380,1.166,5700.000,6.360,1442.00,Radial Velocity,2006,146.800,1.070,5836,Likely a false positive,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 35759 b,3.760,1.166,82.467,0.389,1442.00,Radial Velocity,2006,236.000,1.150,6060,None,Giant,Short,Mid-Range,Medium,Hot,0
HD 37605 c,3.366,1.166,2720.000,3.814,1442.00,Radial Velocity,2006,139.900,1.000,5448,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 38283 b,0.400,1.166,363.200,1.020,1442.00,Radial Velocity,2006,124.270,1.370,5981,Proper name Yanyan,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 38677 b,1.981,1.166,18.570,0.146,877.00,Radial Velocity,2006,202.217,1.210,6196,DMPP-1 Found by Dispersed Matter Planet Project looking for hot ablating planets.,Giant,Short,Mid-Range,Medium,Hot,0
HD 38677 c,1.981,1.166,6.584,0.073,1239.00,Radial Velocity,2006,202.217,1.210,6196,"DMPP-1 Found by Dispersed Matter Planet Project looking for hot ablating planets, 2:1 orbital resonance of unconfirmed transiting planet.",Giant,Ultra Short,Mid-Range,Medium,Hot,0
HD 38677 d,1.981,1.166,2.882,0.042,1632.00,Radial Velocity,2006,202.217,1.210,6196,DMPP-1 Found by Dispersed Matter Planet Project looking for hot ablating planets.,Giant,Ultra Short,Mid-Range,Medium,Hot,0
HD 38677 e,1.981,1.166,5.516,0.065,1314.00,Radial Velocity,2006,202.217,1.210,6196,DMPP-1 Found by Dispersed Matter Planet Project looking for hot ablating planets.,Giant,Ultra Short,Mid-Range,Medium,Hot,0
HD 39194 b,0.013,1.166,5.630,0.056,1442.00,Radial Velocity,2006,71.430,0.670,5205,Confirmed in 2017 and 2021.,Small,Ultra Short,Nearby,Medium,Sun-like,0
HD 39194 c,0.020,1.166,14.030,0.103,1442.00,Radial Velocity,2006,71.430,0.670,5205,Confirmed in 2017 and 2021.,Small,Short,Nearby,Medium,Sun-like,0
HD 39194 d,0.013,1.166,33.910,0.185,1442.00,Radial Velocity,2006,71.430,0.670,5205,Confirmed in 2017 and 2021.,Small,Short,Nearby,Medium,Sun-like,0
HD 39855 b,0.027,1.166,3.250,0.041,1442.00,Radial Velocity,2006,75.930,0.870,5576,None,Small,Ultra Short,Nearby,Medium,Sun-like,0
HD 40307 e,0.011,1.166,34.620,0.189,1442.00,Radial Velocity,2006,41.800,0.770,4956,None,Small,Short,Nearby,Medium,Sun-like,0
HD 40307 f,0.016,1.166,51.760,0.247,1442.00,Radial Velocity,2006,41.800,0.770,4956,None,Small,Short,Nearby,Medium,Sun-like,0
HD 40307 g,0.022,1.166,197.800,0.600,1442.00,Radial Velocity,2006,41.800,0.770,4956,None,Small,Long,Nearby,Medium,Sun-like,0
HD 40956 b,2.700,1.166,578.600,1.400,1442.00,Radial Velocity,2006,385.000,2.000,4869,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 42012 b,1.600,1.166,857.500,1.670,1442.00,Radial Velocity,2006,121.000,0.830,5405,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 4203 c,2.170,1.166,6700.000,6.950,1442.00,Radial Velocity,2006,253.800,1.130,5702,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 42618 b [id],0.045,1.166,149.610,0.554,337.00,Radial Velocity,2006,77.000,1.010,5727,None,Small,Long,Nearby,Medium,Sun-like,0
HD 42936 Ab,2.580,1.166,6.673,0.066,854.00,Radial Velocity,2006,159.491,0.870,5138,DMPP-3 Found by Dispersed Matter Planet Project looking for hot ablating planets.,Giant,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 4313 b,8.790,1.166,533.000,1.360,1442.00,Radial Velocity,2006,438.000,1.860,4374,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 43197 b,0.600,1.166,327.800,0.920,1442.00,Radial Velocity,2006,183.630,0.960,5508,Proper name Equiano,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 44219 b,0.580,1.166,472.300,1.190,1442.00,Radial Velocity,2006,164.390,1.000,5752,None,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 45184 b,0.038,1.166,5.885,0.064,1442.00,Radial Velocity,2006,71.360,1.030,5869,Confirmed in 2017,Small,Ultra Short,Nearby,Medium,Sun-like,0
HD 45184 c,0.028,1.166,13.135,0.110,1442.00,Radial Velocity,2006,71.360,1.030,5869,None,Small,Short,Nearby,Medium,Sun-like,0
HD 4732 b,2.370,1.166,360.200,1.190,1442.00,Radial Velocity,2006,184.000,1.740,4959,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 4732 c,2.370,1.166,2732.000,4.600,1442.00,Radial Velocity,2006,184.000,1.740,4959,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 47366 b,1.750,1.166,363.300,1.214,1442.00,Radial Velocity,2006,260.000,1.810,4866,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 47366 c,1.860,1.166,684.700,1.853,1442.00,Radial Velocity,2006,260.000,1.810,4866,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 4917 b,1.615,1.224,400.500,1.167,1442.00,Radial Velocity,2006,670.100,1.320,4802,Two additional planets in system are suspected,Giant,Long,Far,Medium,Sun-like,0
HD 51608 b [ru],0.040,1.166,14.073,0.106,1442.00,Radial Velocity,2006,113.600,0.800,5358,Confirmed in 2017.,Small,Short,Mid-Range,Medium,Sun-like,0
HD 51608 c [ru],0.045,1.166,95.945,0.381,1442.00,Radial Velocity,2006,113.600,0.800,5358,Confirmed in 2017.,Small,Short,Mid-Range,Medium,Sun-like,0
HD 5278 b,0.025,0.219,14.339,0.120,943.00,Transit,2006,183.100,1.126,6203,Host star also known as TOI-130.,Small,Short,Mid-Range,Small,Hot,0
HD 5278 c,0.058,1.166,0.242,0.120,943.00,Radial Velocity,2006,183.100,1.126,6203,Host star also known as TOI-130.,Small,Ultra Short,Mid-Range,Medium,Hot,0
HD 5319 c,1.150,1.166,886.000,2.071,1442.00,Radial Velocity,2006,370.000,1.510,4958,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 55696 b,3.870,1.166,1827.000,3.180,1442.00,Radial Velocity,2006,255.000,1.290,6012,None,Giant,Long,Mid-Range,Medium,Hot,0
HD 5583 b,5.780,1.166,139.350,0.530,1442.00,Radial Velocity,2006,720.000,1.010,4830,None,Giant,Long,Far,Medium,Sun-like,0
HD 5608 b,1.400,1.166,792.600,1.900,1442.00,Radial Velocity,2006,189.700,1.550,4854,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 564 b,0.330,1.166,492.300,1.200,1442.00,Radial Velocity,2006,175.000,0.960,5902,None,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 56414 b,0.094,0.331,29.050,0.229,1133.00,Transit,2006,873.000,1.890,8500,Host star also known as TOI-1228,Small,Short,Far,Small,Hot,0
HD 5891 b,7.630,1.166,177.110,0.640,1442.00,Radial Velocity,2006,932.020,1.930,4673,None,Giant,Long,Far,Medium,Sun-like,0
HD 60292 b,6.500,1.166,495.400,1.500,1442.00,Radial Velocity,2006,1036.000,1.700,4348,Giant star host,Giant,Long,Far,Medium,Sun-like,0
HD 63433 b [ru],0.017,±0.009,7.108,0.071,1442.00,Transit,2006,73.080,0.990,5640,None,Small,Ultra Short,Nearby,Large,Sun-like,0
HD 63433 c [ru],0.049,0.238,20.546,0.153,1442.00,Transit,2006,73.080,0.990,5640,None,Small,Short,Nearby,Small,Sun-like,0
HD 64114 b,0.056,1.166,45.791,0.246,1442.00,Radial Velocity,2006,102.900,0.950,5676,None,Small,Short,Mid-Range,Medium,Sun-like,0
HD 64121 b,2.560,1.166,623.000,1.510,1442.00,Radial Velocity,2006,424.100,1.180,5066,Giant host star,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 65216c,1.295,1.166,577.600,1.301,1442.00,Radial Velocity,2006,114.700,0.950,5718,Rediscovered in 2019 after false positive in 2013,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 66141 b,6.000,1.166,480.500,1.200,1442.00,Radial Velocity,2006,261.100,1.100,4323,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 67087 b,3.060,1.166,352.200,1.080,1442.00,Radial Velocity,2006,289.700,1.360,6330,Catastrophically unstable planetary system,Giant,Long,Mid-Range,Medium,Hot,0
HD 67087 c,4.850,1.166,2374.000,3.860,1442.00,Radial Velocity,2006,289.700,1.360,6330,Catastrophically unstable planetary system,Giant,Long,Mid-Range,Medium,Hot,0
HD 68402 b,3.070,1.166,1103.000,2.180,1442.00,Radial Velocity,2006,250.000,1.120,5950,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 69123 b,3.040,1.166,1193.300,2.482,1442.00,Radial Velocity,2006,245.000,1.430,4787,Giant host star,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 69830 b,0.032,1.166,8.667,0.079,1442.00,Radial Velocity,2006,40.970,0.860,5385,None,Small,Ultra Short,Nearby,Medium,Sun-like,0
HD 69830 c,0.037,1.166,31.560,0.186,1442.00,Radial Velocity,2006,40.970,0.860,5385,None,Small,Short,Nearby,Medium,Sun-like,0
HD 69830 d,0.057,1.166,197.000,0.630,1442.00,Radial Velocity,2006,40.970,0.860,5385,None,Small,Long,Nearby,Medium,Sun-like,0
HD 7199 b,0.270,1.166,615.000,1.360,1442.00,Radial Velocity,2006,118.040,0.770,5371,Proper name Hairu,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 72490 b,1.768,1.218,858.000,1.880,1442.00,Radial Velocity,2006,413.500,1.210,4934,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 72490 c,4.500,1.166,3878.000,5.220,1442.00,Radial Velocity,2006,224.000,1.260,4867,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 72892 b [id],5.450,1.166,39.475,0.228,1442.00,Radial Velocity,2006,237.400,1.020,5688,None,Giant,Short,Mid-Range,Medium,Sun-like,0
HD 7449 A b,0.508,1.166,1255.500,2.380,1442.00,Radial Velocity,2006,126.260,1.050,6024,None,Medium,Long,Mid-Range,Medium,Hot,0
HD 75784 b,1.150,1.166,341.700,1.073,1442.00,Radial Velocity,2006,224.000,1.410,4917,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 76920 b,3.930,1.166,415.891,1.149,1442.00,Radial Velocity,2006,602.700,1.170,4698,Extremely eccentric orbit around an evolved red giant,Giant,Long,Far,Medium,Sun-like,0
HD 77338b,0.050,1.166,5.736,0.061,1442.00,Radial Velocity,2006,134.600,0.930,5370,None,Small,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 79211 b,0.033,1.166,24.422,0.142,345.00,Radial Velocity,2006,20.658,0.640,4005,Orbiting primary star of binary ADS 7251,Small,Short,Nearby,Medium,Sun-like,0
HD 7924 c,0.025,1.166,15.299,0.113,584.00,Radial Velocity,2006,54.900,0.830,5075,None,Small,Short,Nearby,Medium,Sun-like,0
HD 7924 d,0.020,1.166,24.451,0.155,499.00,Radial Velocity,2006,54.900,0.830,5075,None,Small,Short,Nearby,Medium,Sun-like,0
HD 79498 b,1.340,1.166,1807.000,2.980,1442.00,Radial Velocity,2006,159.890,1.080,5748,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 80653 b,0.018,0.144,0.720,0.017,1442.00,Transit,2006,358.120,1.180,5601,None,Small,Ultra Short,Mid-Range,Small,Sun-like,0
HD 82886 b,2.330,1.166,705.000,1.580,1442.00,Radial Velocity,2006,415.930,2.530,4953,Proper name Arber,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 8326 b [id],0.210,1.166,158.991,0.533,1442.00,Radial Velocity,2006,100.200,0.800,4914,None,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 83443 c,1.500,1.166,8241.000,8.000,1442.00,Radial Velocity,2006,133.600,1.000,5442,Eccentric orbit due to hot Jupiter in system,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 8535 b,0.680,1.166,1313.000,2.450,1442.00,Radial Velocity,2006,171.240,1.130,6136,None,Medium,Long,Mid-Range,Medium,Hot,0
HD 85512 b,0.010,1.166,58.430,0.260,298.00,Radial Velocity,2006,36.790,0.430,4300,None,Small,Short,Nearby,Medium,Sun-like,0
HD 85628 A b,3.100,1.530,2.824,0.047,2100.00,Transit,2006,559.470,1.750,7800,Mascara-4b: A3V giant star and a planet on retrograde orbit.,Giant,Ultra Short,Far,Large,Hot,0
HD 85628 A b [id],1.675,1.515,2.824,0.047,1865.00,Transit,2006,560.000,1.750,7800,Host star also known as MASCARA-4,Giant,Ultra Short,Far,Large,Hot,0
HD 86081 b,1.480,1.166,2.138,0.035,1442.00,Radial Velocity,2006,340.000,1.210,5939,Proper name Santamasa,Giant,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 86226 b,0.920,1.166,1695.000,2.840,1442.00,Radial Velocity,2006,149.190,1.060,5903,None,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 86226 c,0.023,0.193,3.984,0.049,1311.00,Transit,2006,149.000,1.019,5863,None,Small,Ultra Short,Mid-Range,Small,Sun-like,0
HD 86950 b,3.600,1.166,1270.000,2.720,1442.00,Radial Velocity,2006,550.000,1.660,4805,None,Giant,Long,Far,Medium,Sun-like,0
HD 89345 b,0.110,0.660,11.814,0.107,1089.00,Transit,2006,433.100,1.160,5576,Host star also known as K2-234,Medium,Short,Mid-Range,Medium,Sun-like,0
HD 9174 b [id],1.110,1.166,1179.000,2.200,1442.00,Radial Velocity,2006,257.400,1.030,5577,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 92788 c,3.670,1.166,11611.298,10.500,1442.00,Radial Velocity,2006,113.139,1.150,5744,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 92987 b,16.880,1.166,10354.838,9.620,1442.00,Radial Velocity,2006,142.200,1.080,5770,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 93385 Ab,0.013,1.166,7.342,0.075,1129.00,Radial Velocity,2006,141.600,1.040,5823,"Confirmed in 2021, renamed from HD 93385 d",Small,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 93385 Ac,0.022,1.166,13.180,0.112,1442.00,Radial Velocity,2006,141.600,1.040,5823,"Originally planet HD 93385 b, confirmed in 2017, renamed in 2021",Small,Short,Mid-Range,Medium,Sun-like,0
HD 93385 Ad,0.027,1.166,45.840,0.257,1442.00,Radial Velocity,2006,141.600,1.040,5823,"Originally planet HD 93385 c, confirmed in 2017, renamed in 2021.",Small,Short,Mid-Range,Medium,Sun-like,0
HD 93963A b,1.981,0.121,1.039,0.021,2042.00,Transit,2006,268.600,1.109,5987,Host star also known as TOI-1797,Giant,Ultra Short,Mid-Range,Small,Sun-like,0
HD 93963A c,1.981,0.288,3.645,0.048,1344.00,Transit,2006,268.600,1.109,5987,Host star also known as TOI-1797,Giant,Ultra Short,Mid-Range,Small,Sun-like,0
HD 94834 b,1.260,1.242,1576.000,2.740,1442.00,Radial Velocity,2006,321.000,1.110,4798,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 95086 b,5.000,1.166,232.300,55.700,1442.00,Imaging,2006,298.700,1.600,5601,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 95089 b,1.260,1.166,464.400,1.360,1442.00,Radial Velocity,2006,448.350,1.540,4918,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 95089 c,3.970,1.166,1860.000,1442.000,1442.00,Radial Velocity,2006,42.100,1.580,5002,None,Giant,Long,Nearby,Medium,Sun-like,0
HD 95127 b,5.010,1.166,482.000,1.280,1442.00,Radial Velocity,2006,1080.000,1.200,4218,None,Giant,Long,Far,Medium,Sun-like,0
HD 95338 b,0.124,0.355,55.086,0.231,402.00,Transit,2006,120.000,0.760,5212,None,Medium,Short,Mid-Range,Small,Sun-like,0
HD 95872 b,4.600,1.166,4375.000,5.200,1442.00,Radial Velocity,2006,236.000,0.950,5312,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 96063 b,1.270,1.166,362.500,1.110,1442.00,Radial Velocity,2006,458.660,1.370,5020,Proper name Ramajay,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 96127 b,20.960,1.166,647.300,1.420,1442.00,Radial Velocity,2006,1949.000,10.940,3943,"Likely not a planet, but a star",Giant,Long,Far,Medium,Cool,0
HD 96700 b,0.028,1.166,8.120,0.078,1442.00,Radial Velocity,2006,84.000,0.890,5845,Also unconfirmed planet between orbits b and c,Small,Ultra Short,Nearby,Medium,Sun-like,0
HD 96700 c,0.040,1.166,103.500,0.424,1442.00,Radial Velocity,2006,84.000,0.890,5845,Also unconfirmed planet between orbits b and c,Small,Long,Nearby,Medium,Sun-like,0
HD 97048 b,2.500,1.166,232.300,130.000,1442.00,Imaging,2006,603.000,2.400,10000,Discovered using study of disk kinematics. Unconfirmed.,Giant,Long,Far,Medium,Hot,0
HD 97658 b,0.030,0.210,9.491,0.080,757.00,Radial Velocity,2006,70.390,0.890,5175,None,Small,Ultra Short,Nearby,Small,Sun-like,0
HD 98219 b,1.964,1.166,433.800,1.260,1442.00,Radial Velocity,2006,372.060,1.410,4925,Proper name Ixbalanqué,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 98649 b,6.800,1.166,4951.000,5.600,1442.00,Radial Velocity,2006,139.500,1.000,5759,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 98736 b,2.330,1.166,968.800,1.864,1442.00,Radial Velocity,2006,106.000,0.920,5271,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 99706 b,1.230,1.166,841.000,1.980,1442.00,Radial Velocity,2006,480.150,1.460,4862,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 99706 c,5.690,1.166,1278.000,1442.000,1442.00,Radial Velocity,2006,480.000,1.700,4891,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD108236 b,1.981,0.142,3.795,0.047,1099.00,Transit,2006,211.000,0.970,5730,None,Giant,Ultra Short,Mid-Range,Small,Sun-like,0
HD108236 c,1.981,0.185,6.204,0.065,932.00,Transit,2006,211.000,0.970,5730,None,Giant,Ultra Short,Mid-Range,Small,Sun-like,0
HD108236 d,1.981,0.242,14.176,0.113,708.00,Transit,2006,211.000,0.970,5730,None,Giant,Short,Mid-Range,Small,Sun-like,0
HD108236 e,1.981,0.279,19.592,0.140,636.00,Transit,2006,211.000,0.970,5730,None,Giant,Short,Mid-Range,Small,Sun-like,0
HD87646 b [fr],12.400,1.166,13.481,0.117,1442.00,Radial Velocity,2006,240.000,1.120,5770,Also brown dwarf in the system,Giant,Short,Mid-Range,Medium,Sun-like,0
HIP 105854 b,8.200,1.166,184.200,0.810,1442.00,Radial Velocity,2006,276.000,2.100,4780,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HIP 107772 b [ja],0.049,1.166,55.259,0.243,1442.00,Radial Velocity,2006,77.100,0.630,5601,habitable zone,Small,Short,Nearby,Medium,Sun-like,0
HIP 107773 b,1.980,1.166,144.300,0.720,1442.00,Radial Velocity,2006,344.000,2.420,4945,Host star also known as HD 207229,Giant,Long,Mid-Range,Medium,Sun-like,0
HIP 109384 b,1.560,1.166,499.480,1.134,1442.00,Radial Velocity,2006,183.000,0.780,5180,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HIP 109600 b,2.680,1.166,232.080,0.706,1442.00,Radial Velocity,2006,191.000,0.870,5530,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HIP 116454 b,0.037,0.226,9.121,0.091,1442.00,Radial Velocity,2006,180.000,0.780,5089,None,Small,Ultra Short,Mid-Range,Small,Sun-like,0
HIP 12961 b,0.360,1.166,57.435,0.250,1442.00,Radial Velocity,2006,76.290,0.690,3901,Proper name Aumatex,Medium,Short,Nearby,Medium,Cool,0
HIP 14810 c,1.310,1.166,147.747,0.549,1442.00,Radial Velocity,2006,164.880,1.010,5544,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HIP 34269 b [ja],0.005,0.103,0.548,0.012,1617.00,Transit,2006,154.810,0.740,4440,Host star also known as TOI-500,Small,Ultra Short,Mid-Range,Small,Sun-like,0
HIP 34269 c [ja],0.015,1.166,6.636,1442.000,1442.00,Radial Velocity,2006,154.810,0.740,4440,Host star also known as TOI-500,Small,Ultra Short,Mid-Range,Medium,Sun-like,0
HIP 34269 d [ja],0.106,1.166,26.233,1442.000,1442.00,Radial Velocity,2006,154.810,0.740,4440,Host star also known as TOI-500,Medium,Short,Mid-Range,Medium,Sun-like,0
HIP 34269 e [ja],0.038,1.166,61.300,1442.000,1442.00,Radial Velocity,2006,154.810,0.740,4440,Host star also known as TOI-500,Small,Short,Mid-Range,Medium,Sun-like,0
