 Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K),Discovery method,Discovery Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks,Mass Category,Period Category,Distance Category,Radius Category,Star Temp Category,IS Habbitable
Kepler-331b,1.981,0.162,8.457,0.065,1442.00,Transit,2006,1920.000,0.510,4347,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-331c,1.981,0.164,17.281,0.105,1442.00,Transit,2006,1920.000,0.510,4347,None,Giant,Short,Far,Small,Sun-like,0
Kepler-331d,1.981,0.146,32.134,0.159,1442.00,Transit,2006,1920.000,0.510,4347,None,Giant,Short,Far,Small,Sun-like,0
Kepler-332b,1.981,0.104,7.626,0.070,1442.00,Transit,2006,1133.000,0.800,4955,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-332c,1.981,0.097,15.996,0.114,1442.00,Transit,2006,1133.000,0.800,4955,None,Giant,Short,Far,Small,Sun-like,0
Kepler-332d,1.981,0.105,34.212,0.189,1442.00,Transit,2006,1133.000,0.800,4955,None,Giant,Short,Far,Small,Sun-like,0
Kepler-333b,1.981,0.118,12.551,0.087,1442.00,Transit,2006,1068.000,0.540,4259,None,Giant,Short,Far,Small,Sun-like,0
Kepler-333c,1.981,0.099,24.088,0.135,1442.00,Transit,2006,1068.000,0.540,4259,None,Giant,Short,Far,Small,Sun-like,0
Kepler-334b,1.981,0.100,5.470,0.061,1442.00,Transit,2006,1408.000,1.000,5828,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-334c,1.981,0.128,12.758,0.107,1442.00,Transit,2006,1408.000,1.000,5828,None,Giant,Short,Far,Small,Sun-like,0
Kepler-334d,1.981,0.126,25.098,0.168,1442.00,Transit,2006,1408.000,1.000,5828,None,Giant,Short,Far,Small,Sun-like,0
Kepler-335b,1.981,0.302,6.562,0.075,1442.00,Transit,2006,4320.000,0.990,5877,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-335c,1.981,0.274,67.844,0.356,1442.00,Transit,2006,4320.000,0.990,5877,None,Giant,Short,Far,Small,Sun-like,0
Kepler-336b,1.981,0.091,2.025,0.033,1442.00,Transit,2006,8000.000,0.890,5867,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-336c,1.981,0.187,9.600,0.092,1442.00,Transit,2006,8000.000,0.890,5867,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-336d,1.981,0.211,20.679,0.154,1442.00,Transit,2006,8000.000,0.890,5867,None,Giant,Short,Far,Small,Sun-like,0
Kepler-337b,1.981,0.137,3.293,0.045,1442.00,Transit,2006,2250.000,0.960,5684,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-337c,1.981,0.183,9.693,0.093,1442.00,Transit,2006,2250.000,0.960,5684,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-338b,1.981,0.218,13.727,0.117,1442.00,Transit,2006,1830.000,1.100,5923,None,Giant,Short,Far,Small,Sun-like,0
Kepler-338c,1.981,0.209,24.311,0.172,1442.00,Transit,2006,1830.000,1.100,5923,None,Giant,Short,Far,Small,Sun-like,0
Kepler-338d,1.981,0.268,44.431,0.257,1442.00,Transit,2006,1830.000,1.100,5923,None,Giant,Short,Far,Small,Sun-like,0
Kepler-338e,0.027,0.139,9.341,1442.000,1442.00,Timing,2006,1830.000,1.100,5923,?,Small,Ultra Short,Far,Small,Sun-like,0
Kepler-339b,1.981,0.127,4.978,0.055,1442.00,Transit,2006,2040.000,0.840,5631,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-339c,1.981,0.103,6.988,0.069,1442.00,Transit,2006,2040.000,0.840,5631,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-339d,1.981,0.104,10.558,0.091,1442.00,Transit,2006,2040.000,0.840,5631,None,Giant,Short,Far,Small,Sun-like,0
Kepler-33b,1.981,0.155,5.668,0.068,1442.00,Transit,2006,4086.000,1.290,5904,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-33c,0.001,0.285,13.176,0.119,1442.00,Transit,2006,4086.000,1.290,5904,None,Small,Short,Far,Small,Sun-like,0
Kepler-33d,0.012,0.477,21.776,0.166,1442.00,Transit,2006,4086.000,1.290,5904,None,Small,Short,Far,Small,Sun-like,0
